inventor_id,name,country
fl:ha_ln:bodin-1,Hans Bodin,
fl:sh_ln:o'malley-2,Shawn Michael O'Malley,
fl:ki_ln:cho-59,Ki Hyun Cho,
fl:ke_ln:shull-2,Kenneth D. Shull,
fl:lu_ln:lopezmoreno-1,Luis Lopez Moreno,
fl:ma_ln:liphardt-2,Martin M. Liphardt,
fl:yo_ln:yamada-56,Yoshiyuki Yamada,
fl:jo_ln:baker-78,Jonathan M. Baker,
fl:fr_ln:garbelli-1,Francesco Garbelli,
fl:ro_ln:rutledge-2,Robert A. Rutledge,US
fl:pa_ln:koptilin-1,Pavel Koptilin,
fl:je_ln:jacquinet-1,Jean-Claude Jacquinet,
fl:an_ln:auvil-2,Andrew L. Auvil,
fl:st_ln:hunt-10,Stephen L. Hunt,
fl:an_ln:tang-15,Andrew T. K. Tang,US
fl:mi_ln:samuel-5,Michael Vincent Samuel,US
fl:ez_ln:darshan-1,Ezra Darshan,
fl:ri_ln:peres-1,Richard Peres,LU
fl:yu_ln:oda-7,Yuji Oda,
fl:la_ln:ulander-2,Lars Johan Andreas Ulander,
fl:ky_ln:lee-627,Kyudae Lee,
fl:ju_ln:takagi-11,Junji Takagi,JP
fl:yo_ln:jun-66,Youngkyun Jun,
fl:mi_ln:alemany-1,Miguel Alemany,
fl:ro_ln:wacker-1,Robert L. Wacker,
fl:da_ln:neff-1,Danielle K. Neff,
fl:yi_ln:wang-136,Yi Wang,
fl:be_ln:harrison-2,Beverly L. Harrison,
fl:ba_ln:vanhell-1,Bart Van Hell,
fl:pa_ln:kalyanapu-1,Patrick Kalyanapu,
fl:gl_ln:amatucci-1,Glenn G. Amatucci,US
fl:ja_ln:delker-2,Jason R. Delker,
fl:wi_ln:meng-1,Wilson Meng,
fl:th_ln:mcclellan-3,Thomas A. McClellan,
fl:gu_ln:weng-7,Guojun Weng,
fl:ji_ln:park-190,Jin-Sung Park,
000f0k6brgval6kr9agzjlgcg,Lynda M. Salvetti,
fl:yo_ln:son-144,Young-Ran Son,KR
000f3mi5t5lpa1ch45ncsfqtz,Semion H. Mazor,
fl:ra_ln:venkataramani-1,Raman Venkataramani,
fl:ya_ln:ko-1,Ya-Ping Ko,
fl:vi_ln:ramamoorthy-2,Vimal Ramamoorthy,
fl:bo_ln:ormsbee-1,Bowden Ormsbee,
fl:ro_ln:alini-1,Roberto Alini,
fl:jo_ln:buysman-2,John Jason Buysman,
fl:ru_ln:shi-10,Ruiwen Shi,
fl:ca_ln:phillips-22,Cary Phillips,
000fjkbab9nljqyqpy20ktebx,Seved Ahmad Mojahed Gomnam,US
fl:sr_ln:punna-1,Sreenivas Punna,
fl:mi_ln:grogan-1,Michael J. Grogan,US
fl:mi_ln:moore-11,Michael Edward Moore,
fl:ma_ln:horiguchi-17,Mari Horiguchi,JP
fl:se_ln:jurdana-1,Sergio Jurdana,
fl:ja_ln:choi-156,Jaeman Choi,
fl:ma_ln:barker-12,Mario John Barker,
fl:ha_ln:takahashi-28,Haruhiko Takahashi,JP
fl:ki_ln:han-39,Ki-Young Han,
fl:jo_ln:puryear-2,John W. Puryear,US
fl:da_ln:murti-1,Dasarao K. Murti,
fl:ja_ln:tour-1,James M. Tour,
fl:pi_ln:payraud-1,Pierre Payraud,
fl:te_ln:asayama-1,Tetsuya Asayama,
fl:ka_ln:lee-173,Kang Hyun Lee,
fl:ma_ln:zeiler-4,Martin Zeiler,
fl:le_ln:kononov-1,Leon Kononov,
fl:mo_ln:sato-1,Moriyuki Sato,
fl:mo_ln:hassan-32,Morris Hassan,US
fl:wa_ln:barnette-2,Wayne D. Barnette,
fl:em_ln:watanabe-2,Emi Watanabe,
fl:xi_ln:zhang-560,Xin Zhang,
fl:pe_ln:hovell-1,Peter Hovell,
fl:mi_ln:chen-252,Ming Chen,
fl:ar_ln:pun-1,Arthur Fong-Yuen Pun,US
fl:pr_ln:mehta-23,Pranav Mehta,US
fl:mi_ln:boraas-1,Michael A. Boraas,
000hl8sepandlrjbxh7oea7wh,John Riso,US
fl:ar_ln:wojtalik-1,Artur Wojtalik,
fl:ta_ln:toida-4,Takumi TOIDA,JP
fl:st_ln:weinstein-1,Stephen B. Weinstein,US
fl:al_ln:hagemeyer-1,Alfred Hagemeyer,
fl:ni_ln:manaresi-2,Nicolò Manaresi,
fl:to_ln:konuma-2,Toshimitsu Konuma,JP
fl:ra_ln:dongara-3,Rajeshwer Dongara,
fl:he_ln:huber-5,Helmuth Huber,
fl:ro_ln:tench-1,Robert J. Tench,
fl:pa_ln:conlan-1,Patrick Conlan,
fl:ra_ln:bordawekar-2,Rajesh Bordawekar,US
fl:ha_ln:xu-119,Hao Xu,
fl:al_ln:lacour-2,Alain P. Lacour,
fl:an_ln:besana-1,Andrea Besana,
fl:ma_ln:kanda-11,Masakazu Kanda,
fl:ta_ln:konishi-35,Takayoshi Konishi,
fl:ka_ln:teichert-1,Katrin Teichert,
fl:ji_ln:zhang-632,Jian Zhang,
fl:ca_ln:kreuzer-1,Carsten Heinrich Kreuzer,
fl:ya_ln:kanou-4,Yasuaki Kanou,
fl:su_ln:kochhar-1,Sunil Kochhar,
fl:pi_ln:stenuick-1,Pierre Stenuick,
fl:ya_ln:akatsuka-1,Yasumasa Akatsuka,
fl:ch_ln:yang-1373,Chui Woong Yang,
000jdp4dd6gu6ah3gvb1u0biq,Hiroshi Kuwako,
fl:ro_ln:allaire-1,Roger A. Allaire,US
fl:mo_ln:elidrissi-1,Moulay Rachid Elidrissi,
fl:cu_ln:chen-26,Cuihong Chen,
fl:ta_ln:kim-402,Taehyun Kim,KR
fl:mu_ln:krishnan-8,Murali R. Krishnan,
fl:pi_ln:degroef-1,Pierre De Groef,BE
fl:ja_ln:fleischer-1,James F. Fleischer,US
fl:he_ln:madan-3,Herb. S. Madan,US
fl:do_ln:kubicek-1,Donald H. Kubicek,
fl:ha_ln:yu-196,Haifeng Yu,
fl:ma_ln:muramatsu-5,Makoto Muramatsu,
fl:da_ln:skidmore-1,David A. Skidmore,
fl:mi_ln:habig-1,Michael M. Habig,
fl:yu_ln:itou-6,Yuichi Itou,
fl:ju_ln:wang-161,Jun Wang,
fl:ra_ln:yarlagadda-2,Ramesh Yarlagadda,
fl:da_ln:chan-49,Danny Chan,
fl:th_ln:petit-1,Thomas J. Petit,
fl:da_ln:gist-1,David Ryan Gist,
fl:ja_ln:birk-2,Janel A. Birk,
fl:ja_ln:kong-3,Jackson Chung Peng Kong,
fl:me_ln:campbell-5,Melody G. Campbell,
fl:mi_ln:boisclair-1,Michel Boisclair,
