patent_id,inventor_id,company_id
5085035,2,
6954432,2,
8301861,1,
5089917,0,
7447452,2,
7222671,5,
10686852,10,
4824933,0,
6578748,2,
10352732,1,
6995213,0,
12417557,6,
6818760,4,
5754522,2,
5492776,3,
6279158,2,
11722367,2,
9140276,0,
7566784,2,
11021607,2,
10858005,0,
10758118,0,
D752965,0,
D763725,16,
4990494,0,
11194578,5,
D1067085,0,
9338200,4,
12376372,3,
5883393,0,
6192941,1,
8319982,3,
H1264,2,
8226184,2,
10658993,2,
8145564,1,
10745920,2,
5234904,3,
12312162,0,
4295065,1,
6810083,0,
12054908,0,
5495475,0,
7906217,0,
8285488,0,
6263276,5,
4724241,0,
6718730,8,
D638818,2,
11270810,1,
12045885,1,
7726459,1,
12368034,3,
6480921,0,
7587558,1,
9448095,0,
12479177,2,
11437457,2,
9131611,3,
12134428,2,
7897283,0,
5543214,0,
4595976,0,
9983483,3,
8420067,3,
7118449,1,
9043781,2,
10194565,3,
6511141,0,
12267713,0,
5778653,0,
7571070,2,
11010143,1,
D682391,2,
D963654,0,
7706641,4,
10389777,3,
9063041,2,
6062218,3,
6713308,1,
12509266,0,
6755029,0,
D938849,1,
D838383,4,
9048942,0,
9972802,4,
8598025,0,
12099447,1,
11148857,3,
10110536,0,
10846014,1,
7278699,1,
11549407,5,
5298859,0,
12250800,3,
D553191,0,
5878501,0,
PP14924,0,
7899129,1,
9739754,0,
11223211,0,
9061825,1,
5084112,0,
11661402,1,
5320706,0,
11881403,0,
11081718,3,
7330645,0,
11914480,1,
7703266,0,
10703640,2,
6371017,0,
9472240,2,
5849227,3,
9486953,1,
6136643,3,
10212203,1,
12159066,2,
7797813,3,
4356097,0,
6777361,3,
D671675,2,
D303485,0,
6700446,0,
D958532,0,
PP16437,0,
6767641,1,
4563441,1,
10530030,2,
12288558,1,
9792215,6,
11182781,0,
9171953,1,
9374166,1,
5591175,0,
11118372,1,
11220693,2,
8767716,1,
7913790,7,
9476569,1,
8040984,7,
6541579,0,
12008394,0,
5900930,0,
11445189,3,
9561799,8,
10980380,0,
5096902,10,
7370038,1,
4454210,0,
10940369,0,
8741492,1,
8408124,0,
D1025407,3,
6018014,6,
7579202,0,
5744763,1,
4026211,0,
9668120,0,
8409136,7,
D332813,1,
10679136,0,
8750918,0,
7275241,0,
3996475,0,
10462634,2,
D306620,0,
5587398,0,
10765386,1,
11967251,3,
5241185,1,
9542539,0,
6448988,1,
5793129,2,
6378416,1,
D503726,0,
4444513,0,
10662703,0,
6450658,0,
8044465,0,
11412052,7,
5624215,1,
D415610,0,
7637601,0,
11465136,3,
D871407,2,
11138198,2,
12510049,0,
8517100,0,
12049637,8,
10191118,0,
4753213,0,
9913761,0,
7172852,0,
9938304,1,
11304733,1,
8016380,0,
D283695,4,
D828136,0,
11839900,2,
9031380,2,
7788691,0,
11826149,1,
4836947,3,
12453801,5,
12240977,0,
9155838,1,
6558633,4,
7739651,0,
10166024,0,
7723815,0,
11633866,0,
12378632,2,
10143236,11,
5813353,0,
12116468,4,
8263998,4,
5345083,0,
10470687,3,
11284724,1,
7035927,1,
10616628,1,
6934576,0,
8430032,1,
4090921,0,
10294288,5,
4952967,1,
11780469,0,
4272501,1,
8740436,1,
9798151,2,
5929015,1,
12247585,1,
10076519,10,
9968847,1,
11035847,1,
6536352,0,
D527799,0,
8582819,1,
10998797,2,
5554469,0,
10692631,0,
9045470,6,
9349665,1,
7643254,3,
5397368,1,
11469260,4,
10637211,4,
4505145,0,
9670308,2,
5136969,0,
10367107,0,
10804321,4,
9315972,1,
9524140,0,
10632675,0,
12305967,3,
8789713,0,
D761617,2,
8115792,1,
8657530,1,
10086935,0,
8268092,7,
D895887,0,
4941324,0,
8838650,1,
4803377,0,
11716976,1,
8520248,3,
7883200,2,
9915307,3,
12426514,3,
11236975,2,
11232577,1,
5624491,0,
8527401,0,
10191099,0,
12358193,2,
D457932,0,
9749880,3,
5401734,5,
7997106,4,
9202682,2,
9668865,1,
5436221,9,
4547045,0,
7659637,3,
12509374,0,
11625417,0,
6375655,1,
8392128,0,
4095250,0,
11838917,3,
5676980,3,
9071964,0,
7689976,3,
9152220,0,
11506077,1,
8377890,2,
12082011,5,
5619978,0,
9923267,2,
9930039,4,
7976910,2,
7409509,0,
10431375,5,
3963297,1,
11278586,0,
D564948,0,
10356123,0,
6685861,1,
4453132,0,
5182053,4,
6340200,0,
7779162,0,
12304943,1,
PP13180,0,
D1067396,0,
4106087,0,
8825811,0,
7468533,1,
4356234,1,
7962315,3,
5932730,5,
8956162,0,
D361084,1,
5026895,11,
8399882,3,
6268442,3,
6099264,0,
11958850,11,
7947642,3,
10712099,2,
7092031,0,
8444701,2,
8411016,1,
11063498,0,
12484429,5,
6060756,3,
11036350,0,
9576811,0,
12031551,2,
11389693,0,
5833353,0,
11991150,0,
8941725,2,
5073693,0,
5335440,0,
6096701,2,
5734622,0,
11842485,0,
8641786,2,
8516778,0,
8811760,0,
12057440,3,
11507842,0,
7718189,0,
4302481,0,
9931926,2,
6761230,3,
8284044,4,
6952510,1,
12377438,0,
11085279,2,
8382777,0,
8409311,3,
5481514,1,
7033662,0,
10854213,1,
11264680,6,
7142909,2,
9441259,0,
9312646,2,
5245895,0,
4569259,0,
7200324,5,
8284377,1,
7814645,2,
7830052,2,
5984187,1,
3941917,2,
8151109,2,
8771175,2,
12463645,0,
5612428,7,
9129250,0,
D1061887,3,
5800187,1,
6692112,1,
6812139,1,
9819497,4,
9599010,1,
D677287,1,
4972654,0,
5466223,0,
11258047,0,
11397286,5,
12156277,5,
9553593,0,
9062920,0,
11056356,2,
9219445,1,
9611844,3,
9977764,0,
7464335,1,
D736349,0,
6101127,0,
5206240,2,
5219485,1,
6317598,1,
9844737,0,
9384830,0,
9906319,2,
6060947,0,
7576449,5,
4239336,1,
7968242,3,
7276262,4,
8071614,0,
10157942,1,
5294010,0,
D914952,0,
11765880,7,
9268300,2,
8430430,4,
6893919,1,
11427074,1,
7424320,1,
4492685,1,
6635072,3,
10346384,2,
6119905,1,
D763763,2,
12133351,1,
11992392,4,
4380456,0,
6434847,1,
D833436,5,
D836195,0,
D726082,1,
D510133,2,
8518368,0,
11693528,0,
9282877,1,
10692001,2,
D252593,0,
7437043,0,
6333817,0,
5718934,0,
10205601,3,
9970776,0,
9649484,0,
7879561,0,
6499830,0,
7460295,2,
10422971,3,
7514409,5,
11045156,1,
6187375,0,
12414810,2,
12481331,0,
6790461,1,
9398773,0,
7492501,0,
5093383,2,
10830685,4,
6562265,0,
8575346,2,
11720481,1,
8769435,1,
D611041,1,
8940660,0,
6421379,0,
8344354,6,
8690337,3,
5197460,0,
12247951,2,
6060758,1,
6139719,6,
11515210,0,
4179460,0,
6266218,0,
6143866,5,
6761353,0,
10063573,3,
11310493,1,
4699035,0,
5935650,3,
6680270,1,
8321092,1,
9510777,3,
8403341,5,
8132276,0,
6818232,1,
D822054,1,
11377892,2,
11095126,1,
11588068,2,
8819457,3,
6062129,1,
11357920,7,
10925878,0,
8751512,0,
9913922,4,
5356026,0,
11773225,0,
5126522,0,
11708353,0,
4349258,1,
D661666,1,0bc189af-3eb0-4f95-9c77-b230b103c2cb
7217191,0,
D858504,0,
6969518,2,
7474929,3,
5151917,0,
9275036,2,
7607030,1,
11124390,3,
12268308,2,
5712140,2,
4299622,1,
8807126,0,
9887655,4,
8291273,1,
11179159,1,
D556535,0,
8532783,0,
4234709,0,
9923426,0,
D704162,1,
7421188,5,
4792440,1,
10375274,5,
7232071,4,
11487425,2,
7457307,4,
10268410,7,
11500726,1,
11538914,3,
11041646,0,
5912440,1,
D622645,1,
10747668,0,
11694825,0,
D911334,3,
7889270,1,
